date,time,interval,GS_id,id,fixture_name,continent,country,league_id,league,state,issue_origin,issue_severity,description,venue_id,venue_name
6/5/2022,3:20:00 AM,2:00 - 3:59,33428:50616405,50616405,North Harbour Women v Manukau Auckland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,No issue related,No issue related,No issue related,140309,ASB Sports Centre Charlie
6/5/2022,5:10:00 AM,4:00 - 5:59,33428:50825190,50825190,WECA U21 v Manukau Auckland U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
6/5/2022,5:50:00 AM,4:00 - 5:59,33428:50878755,50878755,Harbour v WECA,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,"<p>For this match, the scoreboard on the stream was not active due to the eScoresheet not being connected in the venue. Therefore, for the whole match, the scoreboard on the stream was present but empty.</p>",140296,ASB Sports Centre Delta
6/5/2022,5:50:00 AM,4:00 - 5:59,33428:50879220,50879220,Wellington v Hawkes Bay,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,"<p>For this match, the scoreboard on the stream was not active due to the eScoresheet not being connected in the venue. Therefore, for the whole match, the scoreboard on the stream was present but empty.</p>",140335,ASB Sports Centre Alpha
6/5/2022,7:00:00 AM,6:00 - 7:59,33428:50882415,50882415,Otago Women v Wellington Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>For this match, we had unstable signal, the scoreboard was not active even though the eScoresheet was active.</p>",140322,ASB Sports Centre Bravo
6/5/2022,7:00:00 AM,6:00 - 7:59,33428:50878980,50878980,Waikato Women v Southland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,No issue related,No issue related,No issue related,140309,ASB Sports Centre Charlie
6/5/2022,8:00:00 PM,20:00 - 21:59,33428:50891505,50891505,Bay of Plenty U21 Women v Waikato U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,Internal,Critical,"<p>during the precheck, the scoreboard was not updating, the support team send &lt;set_overlay_volleyball&gt; query and then &lt;reload_overlay&gt;, and the scoreboard dint change.</p>",140387,ASB Sports Centre Echo
6/5/2022,8:00:00 PM,20:00 - 21:59,33428:50883195,50883195,Canterbury Women v Bay of Plenty Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,<h1>incorrect scoreboard during the entire match</h1><p><br></p>,140322,ASB Sports Centre Bravo
6/5/2022,8:00:00 PM,20:00 - 21:59,33428:50891490,50891490,Harbour U21 Women v Manukau Auckland U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,Internal,Critical,"<p>during the precheck, the scoreboard was not updating, the support team send &lt;set_overlay_volleyball&gt; query and then &lt;reload_overlay&gt;, and the scoreboard dint change.&nbsp;</p>",140296,ASB Sports Centre Delta
6/5/2022,8:00:00 PM,20:00 - 21:59,33428:50635665,50635665,Manawatu U21 v WECA U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140413,ASB Sports Centre Foxtrot
6/5/2022,8:00:00 PM,20:00 - 21:59,33428:50883210,50883210,North Harbour Women v Tasman Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>during the precheck, the scoreboard was not updating, the support team send &lt;set_overlay_volleyball&gt; query and then &lt;reload_overlay&gt;, and the scoreboard dint change.</p>",140309,ASB Sports Centre Charlie
6/5/2022,9:30:00 PM,20:00 - 21:59,33428:50892330,50892330,Waikato v Wellington,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,Internal,Minor,<p>Total stream affected with bad viewing experience due to the fan connected to it.</p>,140335,ASB Sports Centre Alpha
6/5/2022,9:50:00 PM,20:00 - 21:59,33428:50635680,50635680,Bay of Plenty U21 v Manukau Auckland U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Critical,<p>Feed dropped in 1st set and never recovered</p>,140413,ASB Sports Centre Foxtrot
6/5/2022,9:50:00 PM,20:00 - 21:59,33428:50892315,50892315,Harbour v Manukau Auckland,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,No issue related,No issue related,No issue related,140322,ASB Sports Centre Bravo
6/5/2022,9:50:00 PM,20:00 - 21:59,33428:50900670,50900670,Waikato Women v Manukau Auckland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>after the precheck and checking the overlay and the scoreboard the team noticed, that the scoreboard was not being updated. and with the query´s being sent on Bartolomeo not working the entire match was streamed without the points.</p>",140309,ASB Sports Centre Charlie
6/5/2022,9:50:00 PM,20:00 - 21:59,33428:50635695,50635695,Wellington U21 v Harbour U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Critical,"<p>since the precheck POC was informed that the venue was disconnected, when the device was re-connected the scoreboard was not updating due to matchstate without information.&nbsp;</p>",140387,ASB Sports Centre Echo
6/5/2022,11:20:00 PM,22:00 - 23:59,33428:50900685,50900685,Wellington Women v WECA Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Critical,<p>Feed dropped in the 1st set and never recovered</p>,140309,ASB Sports Centre Charlie
6/5/2022,11:40:00 PM,22:00 - 23:59,33428:50900715,50900715,Canterbury v Hawkes Bay,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,Internal,Critical,"<p>since the precheck the team noticed that the scoreboard was not being updated even with the match state working for the match, a few queries were sent without success.&nbsp;</p>",140413,ASB Sports Centre Foxtrot
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50616315,50616315,Bay of Plenty Women v Manukau Auckland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,<p>no feed due to the internet issues at the venue - both score and vision</p>,140335,ASB Sports Centre Alpha
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50565645,50565645,Canterbury v Harbour,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,<p>No scoreboard updates due to the fact that no feed came from escoresheet</p>,140322,ASB Sports Centre Bravo
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50635530,50635530,Harbour U21 v Bay of Plenty U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Critical,"<p><u>escoresheet feed was down, so there were no updates on the scoreboard</u></p>",140413,ASB Sports Centre Foxtrot
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50565720,50565720,Hawkes Bay v Southland,Oceania,New Zealand,45430,New Zealand Provincial Championship,Aborted,External,Critical,"<p>The game is aborted but we can see that there was data flowing in for this game - we cannot backtrace what happened that we had no video, therefore marking as human error.</p>",140309,ASB Sports Centre Charlie
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50616465,50616465,WECA Women v Canterbury Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Minor,<p>no score updates due to the no feed in the match state - escoresheet issues</p>,140296,ASB Sports Centre Delta
6/4/2022,1:30:00 AM,00:00 - 1:59,33428:50630115,50630115,Wellington U21 Women v Waikato U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
6/4/2022,3:20:00 AM,2:00 - 3:59,33428:50565660,50565660,Bay of Plenty v WECA,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,No issue related,No issue related,No issue related,140322,ASB Sports Centre Bravo
6/4/2022,3:20:00 AM,2:00 - 3:59,33428:50675745,50675745,Harbour U21 Women v Bay of Plenty U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,Completed,External,Critical,<p>due to internet connectivuty at the venue escoresheet was not working and got connected almost an hour late</p>,140387,ASB Sports Centre Echo
6/4/2022,3:20:00 AM,2:00 - 3:59,33428:50616330,50616330,North Harbour Women v Otago Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>due to internet issues at the venue, escoresheet and video was 35 minutes late</p>",140335,ASB Sports Centre Alpha
6/4/2022,3:20:00 AM,2:00 - 3:59,33428:50635545,50635545,Wellington U21 v WECA U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140413,ASB Sports Centre Foxtrot
6/4/2022,3:20:00 AM,2:00 - 3:59,33428:50616480,50616480,Wellington Women v Tasman Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Critical,<p>the game was not streaming or sending any data due to the escoresheet issues at the venue</p>,140296,ASB Sports Centre Delta
6/4/2022,5:10:00 AM,4:00 - 5:59,33428:50565675,50565675,Canterbury v Manukau Auckland,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,No issue related,No issue related,No issue related,140322,ASB Sports Centre Bravo
6/4/2022,5:10:00 AM,4:00 - 5:59,33428:50635560,50635560,Manukau Auckland U21 v Manawatu U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140413,ASB Sports Centre Foxtrot
6/4/2022,5:50:00 AM,4:00 - 5:59,33428:50565735,50565735,Wellington v Waikato,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,No issue related,No issue related,No issue related,140335,ASB Sports Centre Alpha
6/4/2022,7:00:00 AM,6:00 - 7:59,33428:50565690,50565690,Harbour v Hawkes Bay,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,Internal,Critical,"<p>Scoreboard displaying wrong names, and not updating values throughout the entire match.</p>",140322,ASB Sports Centre Bravo
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50635575,50635575,Bay of Plenty U21 v Manawatu U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50565750,50565750,Canterbury v Hawkes Bay,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,<p>Stream dropped in the 2nd set and never recovered</p>,140335,ASB Sports Centre Alpha
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50565810,50565810,Manukau Auckland v Southland,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,"<p>The support team notices that the POC had the same venue assigned for these two matches (10801), and this caused Lisa dint to start automatically, when the team notice ask to FMS to assign the correct venues, losing part of the first set.</p>",140296,ASB Sports Centre Delta
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50756250,50756250,Southland Women v Bay of Plenty Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>as the POC assigned the incorrect venues Lisa was not starting automatically, after the correct changes on wcm, FMS was contacted and asked to assign the correct one, </p>",140309,ASB Sports Centre Charlie
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50616495,50616495,WECA Women v Wellington Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>The support team notices that the POC had the same venue assigned for these two matches (10801), and this caused Lisa dint to start automatically, when the team noticed ask FMS to assign the correct venues, losing part of the first set.</p>",140322,ASB Sports Centre Bravo
6/4/2022,8:00:00 PM,20:00 - 21:59,33428:50675760,50675760,Wellington U21 Women v Bay of Plenty U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,External,Minor,"<p>Cooler caused stream vibrations (bad viewing experience)			</p>",140413,ASB Sports Centre Foxtrot
6/4/2022,9:50:00 PM,20:00 - 21:59,33428:50616360,50616360,Manukau Auckland Women v Otago Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>in the pre-check, the team noticed that Lovejoy it was showing that the camera was streaming, but without showing an image in Hermes, this was because there was already a fixture assigned to that venue 10793, the photo of the incident is attached,</p>",140309,ASB Sports Centre Charlie
6/4/2022,9:50:00 PM,20:00 - 21:59,33428:50616510,50616510,Tasman Women v Waikato Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>in the pre-check, the team noticed that Lovejoy it was showing that the camera was streaming, but without showing an image in Hermes, this was because there was already a fixture assigned to that venue 10794, the photo of the incident is attached,</p>",140322,ASB Sports Centre Bravo
6/4/2022,9:50:00 PM,20:00 - 21:59,33428:50630160,50630160,Waikato U21 Women v Manukau Auckland U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,External,Critical,<p>Stream dropped in the 1set and never recovered</p>,140413,ASB Sports Centre Foxtrot
6/4/2022,9:50:00 PM,20:00 - 21:59,33428:50565765,50565765,WECA v Waikato,Oceania,New Zealand,45430,New Zealand Provincial Championship,Aborted,No issue related,No issue related,No issue related,140322,ASB Sports Centre Bravo
6/4/2022,9:50:00 PM,20:00 - 21:59,33428:50635590,50635590,Wellington U21 v Manukau Auckland U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,Aborted,External,Critical,"<p>in the pre-check, the team noticed that Lovejoy it was showing that the camera was streaming, but without showing an image in Hermes, this was because there was already a fixture assigned to that venue 10799, the photo of the incident is attached,</p>",140387,ASB Sports Centre Echo
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50565825,50565825,Bay of Plenty v Wellington,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Critical,<p>due to the internet issues at the venue there were multiple drops of the game</p>,140296,ASB Sports Centre Delta
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50616375,50616375,Bay of Plenty Women v North Harbour Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,No issue related,No issue related,No issue related,140309,ASB Sports Centre Charlie
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50635605,50635605,Harbour U21 v WECA U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Critical,<p>9309037 feed dropped for more than 20 minutes due to the internet issues at the venue</p>,140387,ASB Sports Centre Echo
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50630175,50630175,Harbour U21 Women v Wellington U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,No issue related,No issue related,No issue related,140413,ASB Sports Centre Foxtrot
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50565780,50565780,Harbour v Southland,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,No issue related,No issue related,No issue related,140335,ASB Sports Centre Alpha
6/4/2022,11:40:00 PM,22:00 - 23:59,33428:50616525,50616525,Wellington Women v Canterbury Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Minor,"<p><span style=""background-color: rgb(235, 236, 240); color: rgb(23, 43, 77);"">9307765 &gt; scoreboard was not updating at the beginning of the game but then synced in the middle of the 1st set. This has happened due toe scoresheet not being connected properly at the beggining.</span></p>",140322,ASB Sports Centre Bravo
6/3/2022,8:00:00 PM,20:00 - 21:59,33428:50565600,50565600,Canterbury v Southland,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,Internal,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140322,ASB Sports Centre Bravo
6/3/2022,8:00:00 PM,20:00 - 21:59,33428:50616420,50616420,Canterbury Women v Waikato Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140296,ASB Sports Centre Delta
6/3/2022,8:00:00 PM,20:00 - 21:59,33428:50756220,50756220,Manukau Auckland Women v Southland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Completed,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140335,ASB Sports Centre Alpha
6/3/2022,8:00:00 PM,20:00 - 21:59,33428:50635485,50635485,WECA U21 v Bay of Plenty U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140413,ASB Sports Centre Foxtrot
6/3/2022,8:00:00 PM,20:00 - 21:59,33428:50630070,50630070,Wellington U21 Women v Manukau Auckland U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50616285,50616285,Bay of Plenty Women v Otago Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140335,ASB Sports Centre Alpha
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50565705,50565705,Harbour v Manukau Auckland,Oceania,New Zealand,45430,New Zealand Provincial Championship,Aborted,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140309,ASB Sports Centre Charlie
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50635500,50635500,Manukau Auckland U21 v Harbour U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140413,ASB Sports Centre Foxtrot
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50616435,50616435,Tasman Women v WECA Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140296,ASB Sports Centre Delta
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50675730,50675730,Waikato U21 Women v Bay of Plenty U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140387,ASB Sports Centre Echo
6/3/2022,9:50:00 PM,20:00 - 21:59,33428:50565615,50565615,Wellington v WECA,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Minor,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140322,ASB Sports Centre Bravo
6/3/2022,11:40:00 PM,22:00 - 23:59,33428:50569095,50569095,Bay of Plenty v Waikato,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,External,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140322,ASB Sports Centre Bravo
6/3/2022,11:40:00 PM,22:00 - 23:59,33428:50630100,50630100,Harbour U21 Women v Manukau Auckland U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140387,ASB Sports Centre Echo
6/3/2022,11:40:00 PM,22:00 - 23:59,33428:50756235,50756235,Southland Women v North Harbour Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,Aborted,External,Critical,"<p>This match had internal issues related to: signal dropping at the venue, issues connecting to the eScoresheet which resulted in the scoreboard being inactive or not present at all, or bad viewing experience related to camera set up in the venue.</p>",140335,ASB Sports Centre Alpha
6/3/2022,11:40:00 PM,22:00 - 23:59,33428:50635515,50635515,Wellington U21 v Manawatu U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,External,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140413,ASB Sports Centre Foxtrot
6/3/2022,11:40:00 PM,22:00 - 23:59,33428:50616450,50616450,Wellington Women v Waikato Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,External,Minor,<p>Scoreboard disconnected from e-scoresheets due to internal issues which also affected streaming</p>,140296,ASB Sports Centre Delta
5/26/2022,6:30:00 PM,18:00 - 19:59,33428:50173485,50173485,Videx Grottazzolina v Sistemia LCT Aci Castello,Europe,Italy,39082,Italy Serie A3,VOD,No issue related,No issue related,No issue related,128440,Palasport Grottazzolina via Fonte San Pietro
5/22/2022,4:00:00 PM,16:00 - 17:59,33428:49526070,49526070,Pineto Volley v Tinet Prata di Pordenone,Europe,Italy,39082,Italy Serie A3,VOD,No issue related,No issue related,No issue related,138645,PalaVolley S.Maria
5/21/2022,5:00:00 PM,16:00 - 17:59,33428:49526055,49526055,Sistemia LCT Aci Castello v Videx Grottazzolina,Europe,Italy,39082,Italy Serie A3,VOD,Internal,Critical,<p>40 minutes lost due to side phone not connecting.</p>,138671,PalaCatania
5/15/2022,2:00:00 PM,14:00 - 15:59,33428:49828560,49828560,Sporting SP Women v Vitória SC Women,Europe,Portugal,17152,Portugal I Divisão Women,VOD,No issue related,No issue related,No issue related,129766,Pavilhão João Rocha
5/15/2022,4:00:00 PM,16:00 - 17:59,33428:49526025,49526025,Videx Grottazzolina v Sistemia LCT Aci Castello,Europe,Italy,39082,Italy Serie A3,VOD,No issue related,No issue related,No issue related,128440,Palasport Grottazzolina via Fonte San Pietro
5/14/2022,2:00:00 PM,14:00 - 15:59,33428:49309965,49309965,Sporting SP Women v Vitória SC Women,Europe,Portugal,17152,Portugal I Divisão Women,VOD,No issue related,No issue related,No issue related,129766,Pavilhão João Rocha
5/14/2022,6:00:00 PM,18:00 - 19:59,33428:48483150,48483150,Nantes Rezé v Plessis-Robinson Volley-Ball,Europe,France,3658,France Ligue A,VOD,No issue related,No issue related,No issue related,59059,Gymnase Arthur Dugast (Rezé)
5/14/2022,6:00:00 PM,18:00 - 19:59,33428:48483180,48483180,Spacer's Toulouse Volley-Ball v AS Cannes,Europe,France,3658,France Ligue A,VOD,No issue related,No issue related,No issue related,59280,Palais des sports André-Brouat
5/14/2022,6:00:00 PM,18:00 - 19:59,33428:48483165,48483165,Stade Poitevin Volley-Ball v Cambrai Volley,Europe,France,3658,France Ligue A,VOD,External,Critical,"<p>The director phone for the match did not have the cooler connected to the device so it got overheat which caused the drop of the stream, after checking with the LM we change the role to the slave phone so the game could finish streaming.</p>",59293,Salle Frédéric Lawson-Body
5/14/2022,6:30:00 PM,18:00 - 19:59,33428:49526040,49526040,Tinet Prata di Pordenone v Pineto Volley,Europe,Italy,39082,Italy Serie A3,VOD,Internal,Minor,<h1>No scoreboard / minor outage</h1><p><br></p>,128388,PalaPrata Prata di Pordenone
